name,url,State,Party,Served,District
"Representative Hill, Baron P.",https://www.congress.gov/member/baron-hill/H001030,Indiana,Democratic,"House: 1999-2005, 2007-2011",9
"Representative Hill, J. French",https://www.congress.gov/member/j-hill/H001072,Arkansas,Republican,House: 2015-Present,2
"Representative Hill, Katie",https://www.congress.gov/member/katie-hill/H001087,California,Democratic,House: 2019,25
"Representative Hill, Rick",https://www.congress.gov/member/rick-hill/H000605,Montana,Republican,House: 1997-2001,At Large
"Representative Hilleary, Van",https://www.congress.gov/member/van-hilleary/H000615,Tennessee,Republican,House: 1995-2003,4
"Representative Hilliard, Earl F.",https://www.congress.gov/member/earl-hilliard/H000621,Alabama,Democratic,House: 1993-2003,7
"Representative Hillis, Elwood H.",https://www.congress.gov/member/elwood-hillis/H000624,Indiana,Republican,House: 1971-1987,5
"Representative Himes, James A.",https://www.congress.gov/member/james-himes/H001047,Connecticut,Democratic,House: 2009-Present,4
"Representative Hinchey, Maurice D.",https://www.congress.gov/member/maurice-hinchey/H000627,New York,Democratic,House: 1993-2013,22
"Representative Hinojosa, Ruben",https://www.congress.gov/member/ruben-hinojosa/H000636,Texas,Democratic,House: 1997-2017,15
"Representative Hinshaw, Andrew J.",https://www.congress.gov/member/andrew-hinshaw/H000638,California,Republican,House: 1973-1977,40
"Representative Hinson, Ashley",https://www.congress.gov/member/ashley-hinson/H001091,Iowa,Republican,House: 2021-Present,1
"Representative Hinson, Jon C.",https://www.congress.gov/member/jon-hinson/H000641,Mississippi,Republican,House: 1979-1983,4
"Senator Hirono, Mazie K.",https://www.congress.gov/member/mazie-hirono/H001042,Hawaii,Democratic,Senate: 2013-Present House: 2007-2013,
"Representative Hoagland, Peter",https://www.congress.gov/member/peter-hoagland/H000652,Nebraska,Democratic,House: 1989-1995,2
"Representative Hobson, David L.",https://www.congress.gov/member/david-hobson/H000666,Ohio,Republican,House: 1991-2009,7
"Representative Hochbrueckner, George J.",https://www.congress.gov/member/george-hochbrueckner/H000670,New York,Democratic,House: 1987-1995,1
"Representative Hochul, Kathleen C.",https://www.congress.gov/member/kathleen-hochul/H001062,New York,Democratic,House: 2011-2013,26
"Representative Hodes, Paul W.",https://www.congress.gov/member/paul-hodes/H001043,New Hampshire,Democratic,House: 2007-2011,2
"Senator Hodges, Kaneaster, Jr.",https://www.congress.gov/member/kaneaster-hodges/H000675,Arkansas,Democratic,Senate: 1977-1979,
"Representative Hoeffel, Joseph M.",https://www.congress.gov/member/joseph-hoeffel/H001031,Pennsylvania,Democratic,House: 1999-2005,13
"Representative Hoekstra, Peter",https://www.congress.gov/member/peter-hoekstra/H000676,Michigan,Republican,House: 1993-2011,2
"Senator Hoeven, John",https://www.congress.gov/member/john-hoeven/H001061,North Dakota,Republican,Senate: 2011-Present,
"Representative Hogan, Lawrence J.",https://www.congress.gov/member/lawrence-hogan/H000692,Maryland,Republican,House: 1969-1975,5
"Representative Hoke, Martin R.",https://www.congress.gov/member/martin-hoke/H000707,Ohio,Republican,House: 1993-1997,10
"Representative Holden, Tim",https://www.congress.gov/member/tim-holden/H000712,Pennsylvania,Democratic,House: 1993-2013,17
"Representative Holding, George",https://www.congress.gov/member/george-holding/H001065,North Carolina,Republican,House: 2013-2021,2
"Representative Holifield, Chet",https://www.congress.gov/member/chet-holifield/H000713,California,Democratic,"House: 1943-1947, 1973-1975",19
"Representative Holland, Kenneth L.",https://www.congress.gov/member/kenneth-holland/H000719,South Carolina,Democratic,House: 1975-1983,5
"Representative Hollenbeck, Harold C.",https://www.congress.gov/member/harold-hollenbeck/H000722,New Jersey,Republican,House: 1977-1983,9
"Senator Hollings, Ernest F.",https://www.congress.gov/member/ernest-hollings/H000725,South Carolina,Democratic,Senate: 1965-2005,
"Representative Hollingsworth, Trey",https://www.congress.gov/member/trey-hollingsworth/H001074,Indiana,Republican,House: 2017-Present,9
"Representative Holloway, Clyde",https://www.congress.gov/member/clyde-holloway/H000729,Louisiana,Republican,House: 1987-1993,8
"Representative Holt, Marjorie S.",https://www.congress.gov/member/marjorie-holt/H000747,Maryland,Republican,House: 1973-1987,4
"Representative Holt, Rush",https://www.congress.gov/member/rush-holt/H001032,New Jersey,Democratic,House: 1999-2015,12
"Representative Holtzman, Elizabeth",https://www.congress.gov/member/elizabeth-holtzman/H000752,New York,Democratic,House: 1973-1981,16
"Representative Honda, Michael M.",https://www.congress.gov/member/michael-honda/H001034,California,Democratic,House: 2001-2017,17
"Representative Hooley, Darlene",https://www.congress.gov/member/darlene-hooley/H000762,Oregon,Democratic,House: 1997-2009,5
"Representative Hopkins, Larry J.",https://www.congress.gov/member/larry-hopkins/H000776,Kentucky,Republican,House: 1979-1993,6
"Representative Horn, Joan Kelly",https://www.congress.gov/member/joan-horn/H000788,Missouri,Democratic,House: 1991-1993,2
"Representative Horn, Kendra S.",https://www.congress.gov/member/kendra-horn/H001083,Oklahoma,Democratic,House: 2019-2021,5
"Representative Horn, Stephen",https://www.congress.gov/member/steve-horn/H000789,California,Republican,House: 1993-2003,38
"Representative Horsford, Steven",https://www.congress.gov/member/steven-horsford/H001066,Nevada,Democratic,"House: 2013-2015, 2019-Present",4
"Representative Horton, Frank J.",https://www.congress.gov/member/frank-horton/H000797,New York,Republican,House: 1963-1993,29
"Representative Hosmer, Craig",https://www.congress.gov/member/craig-hosmer/H000802,California,Republican,House: 1953-1975,32
"Representative Hostettler, John N.",https://www.congress.gov/member/john-hostettler/H000807,Indiana,Republican,House: 1995-2007,8
"Representative Houghton, Amo",https://www.congress.gov/member/amo-houghton/H000814,New York,Republican,House: 1987-2005,29
"Representative Houlahan, Chrissy",https://www.congress.gov/member/chrissy-houlahan/H001085,Pennsylvania,Democratic,House: 2019-Present,6
"Representative Howard, James J.",https://www.congress.gov/member/james-howard/H000840,New Jersey,Democratic,House: 1965-1989,3
"Representative Howe, Allan",https://www.congress.gov/member/allan-howe/H000851,Utah,Democratic,House: 1975-1977,2
"Representative Hoyer, Steny H.",https://www.congress.gov/member/steny-hoyer/H000874,Maryland,Democratic,House: 1981-Present,5
"Senator Hruska, Roman L.",https://www.congress.gov/member/roman-hruska/H000875,Nebraska,Republican,Senate: 1953-1977,
"Representative Hubbard, Carroll, Jr.",https://www.congress.gov/member/carroll-hubbard/H000878,Kentucky,Democratic,House: 1975-1993,1
"Representative Huber, Robert J.",https://www.congress.gov/member/robert-huber/H000897,Michigan,Republican,House: 1973-1975,18
"Representative Huckaby, Thomas J. (Jerry)",https://www.congress.gov/member/jerry-huckaby/H000901,Louisiana,Democratic,House: 1977-1993,5
"Senator Huddleston, Walter (Dee)",https://www.congress.gov/member/walter-huddleston/H000905,Kentucky,Democratic,Senate: 1973-1985,
"Representative Hudnut, William H., III",https://www.congress.gov/member/william-hudnut/H000906,Indiana,Republican,House: 1973-1975,11
"Representative Hudson, Richard",https://www.congress.gov/member/richard-hudson/H001067,North Carolina,Republican,House: 2013-Present,8
"Representative Huelskamp, Tim",https://www.congress.gov/member/tim-huelskamp/H001057,Kansas,Republican,House: 2011-2017,1
"Representative Huffington, Michael",https://www.congress.gov/member/michael-huffington/H000912,California,Republican,House: 1993-1995,22
"Representative Huffman, Jared",https://www.congress.gov/member/jared-huffman/H001068,California,Democratic,House: 2013-Present,2
"Senator Hughes, Harold E.",https://www.congress.gov/member/harold-hughes/H000922,Iowa,Democratic,Senate: 1969-1975,
"Representative Hughes, William J.",https://www.congress.gov/member/william-hughes/H000930,New Jersey,Democratic,House: 1975-1995,2
"Representative Huizenga, Bill",https://www.congress.gov/member/bill-huizenga/H001058,Michigan,Republican,House: 2011-Present,2
"Representative Hulshof, Kenny C.",https://www.congress.gov/member/kenny-hulshof/H000948,Missouri,Republican,House: 1997-2009,9
"Representative Hultgren, Randy",https://www.congress.gov/member/randy-hultgren/H001059,Illinois,Republican,House: 2011-2019,14
"Senator Humphrey, Gordon J.",https://www.congress.gov/member/gordon-humphrey/H000951,New Hampshire,Republican,Senate: 1979-1991,
"Senator Humphrey, Hubert H.",https://www.congress.gov/member/hubert-humphrey/H000953,Minnesota,Democratic,"Senate: 1949-1965, 1971-1979",
"Senator Humphrey, Muriel",https://www.congress.gov/member/muriel-humphrey/H000956,Minnesota,Democratic,Senate: 1977-1979,
"Representative Hungate, William L.",https://www.congress.gov/member/william-hungate/H000965,Missouri,Democratic,House: 1963-1977,9
"Representative Hunt, John E.",https://www.congress.gov/member/john-hunt/H000972,New Jersey,Republican,House: 1967-1975,1
"Representative Hunter, Duncan",https://www.congress.gov/member/duncan-hunter/H000981,California,Republican,House: 1981-2009,52
"Representative Hunter, Duncan D.",https://www.congress.gov/member/duncan-hunter/H001048,California,Republican,House: 2009-2020,50
"Representative Hurd, Will",https://www.congress.gov/member/will-hurd/H001073,Texas,Republican,House: 2015-2021,23
"Representative Hurt, Robert",https://www.congress.gov/member/robert-hurt/H001060,Virginia,Republican,House: 2011-2017,5
"Representative Hutchinson, Asa",https://www.congress.gov/member/asa-hutchinson/H001014,Arkansas,Republican,House: 1997-2001,3
"Representative Hutchinson, Edward",https://www.congress.gov/member/edward-hutchinson/H001011,Michigan,Republican,House: 1963-1977,4
"Representative Hutchinson, John G.",https://www.congress.gov/member/john-hutchinson/H001013,West Virginia,Democratic,House: 1979-1981,3
"Senator Hutchinson, Tim",https://www.congress.gov/member/tim-hutchinson/H001015,Arkansas,Republican,Senate: 1997-2003 House: 1993-1997,
"Senator Hutchison, Kay Bailey",https://www.congress.gov/member/kay-hutchison/H001016,Texas,Republican,Senate: 1993-2013,
"Representative Hutto, Earl",https://www.congress.gov/member/earl-hutto/H001018,Florida,Democratic,House: 1979-1995,1
"Representative Hyde, Henry J.",https://www.congress.gov/member/henry-hyde/H001022,Illinois,Republican,House: 1975-2007,6
"Senator Hyde-Smith, Cindy",https://www.congress.gov/member/cindy-hyde-smith/H001079,Mississippi,Republican,Senate: 2018-Present,
"Representative Ichord, Richard H.",https://www.congress.gov/member/richard-ichord/I000001,Missouri,Democratic,House: 1961-1981,8
"Representative Inglis, Bob",https://www.congress.gov/member/bob-inglis/I000023,South Carolina,Republican,"House: 1993-1999, 2005-2011",4
"Senator Inhofe, James M.",https://www.congress.gov/member/jim-inhofe/I000024,Oklahoma,Republican,Senate: 1994-Present House: 1987-1995,
"Senator Inouye, Daniel K.",https://www.congress.gov/member/daniel-inouye/I000025,Hawaii,Democratic,Senate: 1963-2012 House: 1959-1963,
"Representative Inslee, Jay",https://www.congress.gov/member/jay-inslee/I000026,Washington,Democratic,"House: 1993-1995, 1999-2012",1
"Representative Ireland, Andrew P.",https://www.congress.gov/member/andrew-ireland/I000029,Florida,Republican,House: 1977-1993,10
"Senator Isakson, Johnny",https://www.congress.gov/member/johnny-isakson/I000055,Georgia,Republican,Senate: 2005-2019 House: 1999-2005,
"Representative Israel, Steve",https://www.congress.gov/member/steve-israel/I000057,New York,Democratic,House: 2001-2017,3
"Representative Issa, Darrell E.",https://www.congress.gov/member/darrell-issa/I000056,California,Republican,"House: 2001-2019, 2021-Present",50
"Representative Istook, Ernest J., Jr.",https://www.congress.gov/member/ernest-istook/I000047,Oklahoma,Republican,House: 1993-2007,5
"Representative Jackson Lee, Sheila",https://www.congress.gov/member/sheila-jackson-lee/J000032,Texas,Democratic,House: 1995-Present,18
"Senator Jackson, Henry M.",https://www.congress.gov/member/henry-jackson/J000013,Washington,Democratic,Senate: 1953-1985 House: 1941-1953,
"Representative Jackson, Jesse L., Jr.",https://www.congress.gov/member/jesse-jackson/J000283,Illinois,Democratic,House: 1995-2012,2
"Representative Jackson, Ronny",https://www.congress.gov/member/ronny-jackson/J000304,Texas,Republican,House: 2021-Present,13
"Representative Jacobs, Andrew, Jr.",https://www.congress.gov/member/andrew-jacobs/J000033,Indiana,Democratic,"House: 1965-1973, 1975-1997",10
"Representative Jacobs, Chris",https://www.congress.gov/member/chris-jacobs/J000020,New York,Republican,House: 2020-Present,27
"Representative Jacobs, Sara",https://www.congress.gov/member/sara-jacobs/J000305,California,Democratic,House: 2021-Present,53
"Representative James, Craig T.",https://www.congress.gov/member/craig-james/J000047,Florida,Republican,House: 1989-1993,4
"Representative Janklow, William J.",https://www.congress.gov/member/william-janklow/J000286,South Dakota,Republican,House: 2003-2004,At Large
"Representative Jarman, John",https://www.congress.gov/member/john-jarman/J000057,Oklahoma,Democratic,House: 1951-1977,5
"Senator Javits, Jacob K.",https://www.congress.gov/member/jacob-javits/J000064,New York,Republican,Senate: 1957-1981 House: 1947-1955,
"Representative Jayapal, Pramila",https://www.congress.gov/member/pramila-jayapal/J000298,Washington,Democratic,House: 2017-Present,7
"Representative Jefferson, William J.",https://www.congress.gov/member/william-jefferson/J000070,Louisiana,Democratic,House: 1991-2009,2
"Senator Jeffords, James M.",https://www.congress.gov/member/james-jeffords/J000072,Vermont,Independent,Senate: 1989-2007 House: 1975-1989,
"Representative Jeffries, Hakeem S.",https://www.congress.gov/member/hakeem-jeffries/J000294,New York,Democratic,House: 2013-Present,8
"Representative Jeffries, Jim",https://www.congress.gov/member/james-jeffries/J000074,Kansas,Republican,House: 1979-1983,2
"Representative Jenkins, Edgar L.",https://www.congress.gov/member/ed-jenkins/J000083,Georgia,Democratic,House: 1977-1993,9
"Representative Jenkins, Evan H.",https://www.congress.gov/member/evan-jenkins/J000297,West Virginia,Republican,House: 2015-2018,3
"Representative Jenkins, Lynn",https://www.congress.gov/member/lynn-jenkins/J000290,Kansas,Republican,House: 2009-2019,2
"Representative Jenkins, William L.",https://www.congress.gov/member/william-jenkins/J000082,Tennessee,Republican,House: 1997-2007,1
"Representative Jenrette, John W., Jr.",https://www.congress.gov/member/john-jenrette/J000099,South Carolina,Democratic,House: 1975-1981,6
"Senator Jepsen, Roger W.",https://www.congress.gov/member/roger-jepsen/J000101,Iowa,Republican,Senate: 1979-1985,
"Representative Jindal, Bobby",https://www.congress.gov/member/bobby-jindal/J000287,Louisiana,Republican,House: 2005-2008,1
"Senator Johanns, Mike",https://www.congress.gov/member/mike-johanns/J000291,Nebraska,Republican,Senate: 2009-2015,
"Representative John, Christopher",https://www.congress.gov/member/christopher-john/J000110,Louisiana,Democratic,House: 1997-2005,7
"Representative Johnson, Albert W.",https://www.congress.gov/member/albert-johnson/J000115,Pennsylvania,Republican,House: 1963-1977,23
"Representative Johnson, Bill",https://www.congress.gov/member/bill-johnson/J000292,Ohio,Republican,House: 2011-Present,6
"Representative Johnson, Don",https://www.congress.gov/member/don-johnson/J000120,Georgia,Democratic,House: 1993-1995,10
"Representative Johnson, Dusty",https://www.congress.gov/member/dusty-johnson/J000301,South Dakota,Republican,House: 2019-Present,At Large
"Representative Johnson, Eddie Bernice",https://www.congress.gov/member/eddie-johnson/J000126,Texas,Democratic,House: 1993-Present,30
"Representative Johnson, Harold T.",https://www.congress.gov/member/harold-johnson/J000135,California,Democratic,House: 1959-1981,1
"Representative Johnson, Henry C. ""Hank,"" Jr.",https://www.congress.gov/member/henry-johnson/J000288,Georgia,Democratic,House: 2007-Present,4
"Representative Johnson, James P. (Jim)",https://www.congress.gov/member/james-johnson/J000148,Colorado,Republican,House: 1973-1981,4
"Representative Johnson, Jay W.",https://www.congress.gov/member/jay-johnson/J000149,Wisconsin,Democratic,House: 1997-1999,8
"Representative Johnson, Mike",https://www.congress.gov/member/mike-johnson/J000299,Louisiana,Republican,House: 2017-Present,4
"Representative Johnson, Nancy L.",https://www.congress.gov/member/nancy-johnson/J000163,Connecticut,Republican,House: 1983-2007,5
"Senator Johnson, Ron",https://www.congress.gov/member/ron-johnson/J000293,Wisconsin,Republican,Senate: 2011-Present,
"Representative Johnson, Sam",https://www.congress.gov/member/sam-johnson/J000174,Texas,Republican,House: 1991-2019,3
"Senator Johnson, Tim",https://www.congress.gov/member/tim-johnson/J000177,South Dakota,Democratic,Senate: 1997-2015 House: 1987-1997,
"Representative Johnson, Timothy V.",https://www.congress.gov/member/timothy-johnson/J000285,Illinois,Republican,House: 2001-2013,15
"Representative Johnston, Eugene (Gene)",https://www.congress.gov/member/eugene-johnston/J000200,North Carolina,Republican,House: 1981-1983,6
"Representative Johnston, Harry",https://www.congress.gov/member/harry-johnston/J000187,Florida,Democratic,House: 1989-1997,19
"Senator Johnston, J. Bennett",https://www.congress.gov/member/john-johnston/J000189,Louisiana,Democratic,Senate: 1971-1997,
"Representative Jolly, David W.",https://www.congress.gov/member/david-jolly/J000296,Florida,Republican,House: 2014-2017,13
"Representative Jones, Ben",https://www.congress.gov/member/ben-jones/J000211,Georgia,Democratic,House: 1989-1993,4
"Representative Jones, Brenda",https://www.congress.gov/member/brenda-jones/J000303,Michigan,Democratic,House: 2018-2019,13
"Senator Jones, Doug",https://www.congress.gov/member/doug-jones/J000300,Alabama,Democratic,Senate: 2018-2021,
"Representative Jones, Ed",https://www.congress.gov/member/edward-jones/J000216,Tennessee,Democratic,House: 1969-1989,8
"Representative Jones, James R.",https://www.congress.gov/member/james-jones/J000232,Oklahoma,Democratic,House: 1973-1987,1
"Representative Jones, Mondaire",https://www.congress.gov/member/mondaire-jones/J000306,New York,Democratic,House: 2021-Present,17
"Representative Jones, Robert E., Jr.",https://www.congress.gov/member/robert-jones/J000248,Alabama,Democratic,House: 1947-1977,5
"Representative Jones, Stephanie Tubbs",https://www.congress.gov/member/stephanie-jones/J000284,Ohio,Democratic,House: 1999-2008,11
"Representative Jones, Walter B.",https://www.congress.gov/member/walter-jones/J000256,North Carolina,Democratic,House: 1965-1993,1
"Representative Jones, Walter B., Jr.",https://www.congress.gov/member/walter-jones/J000255,North Carolina,Republican,House: 1995-2019,3
"Representative Jontz, Jim",https://www.congress.gov/member/jim-jontz/J000265,Indiana,Democratic,House: 1987-1993,5
"Representative Jordan, Barbara",https://www.congress.gov/member/barbara-jordan/J000266,Texas,Democratic,House: 1973-1979,18
"Representative Jordan, Jim",https://www.congress.gov/member/jim-jordan/J000289,Ohio,Republican,House: 2007-Present,4
"Representative Joyce, David P.",https://www.congress.gov/member/david-joyce/J000295,Ohio,Republican,House: 2013-Present,14
"Representative Joyce, John",https://www.congress.gov/member/john-joyce/J000302,Pennsylvania,Republican,House: 2019-Present,13
"Representative Kagen, Steve",https://www.congress.gov/member/steve-kagen/K000365,Wisconsin,Democratic,House: 2007-2011,8
"Representative Kahele, Kaiali'i",https://www.congress.gov/member/kaiali-i-kahele/K000396,Hawaii,Democratic,House: 2021-Present,2
"Senator Kaine, Tim",https://www.congress.gov/member/timothy-kaine/K000384,Virginia,Democratic,Senate: 2013-Present,
"Representative Kanjorski, Paul E.",https://www.congress.gov/member/paul-kanjorski/K000008,Pennsylvania,Democratic,House: 1985-2011,11
"Representative Kaptur, Marcy",https://www.congress.gov/member/marcy-kaptur/K000009,Ohio,Democratic,House: 1983-Present,9
"Senator Karnes, David K.",https://www.congress.gov/member/david-karnes/K000011,Nebraska,Republican,Senate: 1987-1989,
"Representative Karth, Joseph E.",https://www.congress.gov/member/joseph-karth/K000014,Minnesota,Democratic,House: 1959-1977,4
"Representative Kasich, John R.",https://www.congress.gov/member/john-kasich/K000016,Ohio,Republican,House: 1983-2001,12
"Senator Kassebaum, Nancy Landon",https://www.congress.gov/member/nancy-kassebaum/K000017,Kansas,Republican,Senate: 1979-1997,
"Senator Kasten, Robert W., Jr.",https://www.congress.gov/member/robert-kasten/K000019,Wisconsin,Republican,Senate: 1981-1993 House: 1975-1979,
"Representative Kastenmeier, Robert W.",https://www.congress.gov/member/robert-kastenmeier/K000020,Wisconsin,Democratic,House: 1959-1991,2
"Representative Katko, John",https://www.congress.gov/member/john-katko/K000386,New York,Republican,House: 2015-Present,24
"Senator Kaufman, Edward E.",https://www.congress.gov/member/edward-kaufman/K000373,Delaware,Democratic,Senate: 2009-2010,
"Representative Kazen, Abraham, Jr.",https://www.congress.gov/member/abraham-kazen/K000025,Texas,Democratic,House: 1967-1985,23
"Representative Keating, William J.",https://www.congress.gov/member/william-keating/K000037,Ohio,Republican,House: 1971-1975,1
"Representative Keating, William R.",https://www.congress.gov/member/william-keating/K000375,Massachusetts,Democratic,House: 2011-Present,9
"Representative Keller, Fred",https://www.congress.gov/member/fred-keller/K000395,Pennsylvania,Republican,House: 2019-Present,12
"Representative Keller, Ric",https://www.congress.gov/member/ric-keller/K000361,Florida,Republican,House: 2001-2009,8
"Senator Kelly, Mark",https://www.congress.gov/member/mark-kelly/K000377,Arizona,Democratic,Senate: 2020-Present,
"Representative Kelly, Mike",https://www.congress.gov/member/mike-kelly/K000376,Pennsylvania,Republican,House: 2011-Present,16
"Representative Kelly, Richard",https://www.congress.gov/member/richard-kelly/K000077,Florida,Republican,House: 1975-1981,5
"Representative Kelly, Robin L.",https://www.congress.gov/member/robin-kelly/K000385,Illinois,Democratic,House: 2013-Present,2
"Representative Kelly, Sue W.",https://www.congress.gov/member/sue-kelly/K000078,New York,Republican,House: 1995-2007,19
"Representative Kelly, Trent",https://www.congress.gov/member/trent-kelly/K000388,Mississippi,Republican,House: 2015-Present,1
"Representative Kemp, Jack",https://www.congress.gov/member/jack-kemp/K000086,New York,Republican,House: 1971-1989,31
"Senator Kempthorne, Dirk",https://www.congress.gov/member/dirk-kempthorne/K000088,Idaho,Republican,Senate: 1993-1999,
"Senator Kennedy, Edward M.",https://www.congress.gov/member/edward-kennedy/K000105,Massachusetts,Democratic,Senate: 1961-2009,
"Senator Kennedy, John",https://www.congress.gov/member/john-kennedy/K000393,Louisiana,Republican,Senate: 2017-Present,
"Representative Kennedy, Joseph P., II",https://www.congress.gov/member/joseph-kennedy/K000110,Massachusetts,Democratic,House: 1987-1999,8
"Representative Kennedy, Joseph P., III",https://www.congress.gov/member/joseph-kennedy/K000379,Massachusetts,Democratic,House: 2013-2021,4
"Representative Kennedy, Mark R.",https://www.congress.gov/member/mark-kennedy/K000358,Minnesota,Republican,House: 2001-2007,6
"Representative Kennedy, Patrick J.",https://www.congress.gov/member/patrick-kennedy/K000113,Rhode Island,Democratic,House: 1995-2011,1
"Representative Kennelly, Barbara B.",https://www.congress.gov/member/barbara-kennelly/K000118,Connecticut,Democratic,House: 1981-1999,1
"Representative Kerns, Brian D.",https://www.congress.gov/member/brian-kerns/K000359,Indiana,Republican,House: 2001-2003,7
"Senator Kerrey, J. Robert",https://www.congress.gov/member/j-kerrey/K000146,Nebraska,Democratic,Senate: 1989-2001,
"Senator Kerry, John F.",https://www.congress.gov/member/john-kerry/K000148,Massachusetts,Democratic,Senate: 1985-2013,
"Representative Ketchum, William M.",https://www.congress.gov/member/william-ketchum/K000153,California,Republican,House: 1973-1979,18
"Representative Keys, Martha E.",https://www.congress.gov/member/martha-keys/K000162,Kansas,Democratic,House: 1975-1979,2
"Representative Khanna, Ro",https://www.congress.gov/member/ro-khanna/K000389,California,Democratic,House: 2017-Present,17
"Representative Kihuen, Ruben J.",https://www.congress.gov/member/ruben-kihuen/K000390,Nevada,Democratic,House: 2017-2019,4
"Representative Kildee, Dale E.",https://www.congress.gov/member/dale-kildee/K000172,Michigan,Democratic,House: 1977-2013,5
"Representative Kildee, Daniel T.",https://www.congress.gov/member/daniel-kildee/K000380,Michigan,Democratic,House: 2013-Present,5
"Representative Kilmer, Derek",https://www.congress.gov/member/derek-kilmer/K000381,Washington,Democratic,House: 2013-Present,6
"Representative Kilpatrick, Carolyn C.",https://www.congress.gov/member/carolyn-kilpatrick/K000180,Michigan,Democratic,House: 1997-2011,13
"Representative Kilroy, Mary Jo",https://www.congress.gov/member/mary-jo-kilroy/K000372,Ohio,Democratic,House: 2009-2011,15
"Representative Kim, Andy",https://www.congress.gov/member/andy-kim/K000394,New Jersey,Democratic,House: 2019-Present,3
"Representative Kim, Jay",https://www.congress.gov/member/jay-kim/K000181,California,Republican,House: 1993-1999,41
"Representative Kim, Young",https://www.congress.gov/member/young-kim/K000397,California,Republican,House: 2021-Present,39
"Representative Kind, Ron",https://www.congress.gov/member/ron-kind/K000188,Wisconsin,Democratic,House: 1997-Present,3
"Representative Kindness, Thomas N.",https://www.congress.gov/member/thomas-kindness/K000190,Ohio,Republican,House: 1975-1987,8
"Senator King, Angus S.",https://www.congress.gov/member/angus-king/K000383,Maine,Independent,Senate: 2013-Present,
"Representative King, Carleton J.",https://www.congress.gov/member/carleton-king/K000195,New York,Republican,House: 1961-1975,29
"Representative King, Peter T.",https://www.congress.gov/member/peter-king/K000210,New York,Republican,House: 1993-2021,2
"Representative King, Steve",https://www.congress.gov/member/steve-king/K000362,Iowa,Republican,House: 2003-2021,4
"Representative Kingston, Jack",https://www.congress.gov/member/jack-kingston/K000220,Georgia,Republican,House: 1993-2015,1
"Representative Kinzinger, Adam",https://www.congress.gov/member/adam-kinzinger/K000378,Illinois,Republican,House: 2011-Present,16
"Senator Kirk, Mark Steven",https://www.congress.gov/member/mark-kirk/K000360,Illinois,Republican,Senate: 2010-2017 House: 2001-2010,
"Senator Kirk, Paul Grattan, Jr.",https://www.congress.gov/member/paul-kirk/K000374,Massachusetts,Democratic,Senate: 2009-2010,
"Representative Kirkpatrick, Ann",https://www.congress.gov/member/ann-kirkpatrick/K000368,Arizona,Democratic,"House: 2009-2011, 2013-2017, 2019-Present",2
"Representative Kissell, Larry",https://www.congress.gov/member/larry-kissell/K000369,North Carolina,Democratic,House: 2009-2013,8
"Representative Kleczka, Gerald D.",https://www.congress.gov/member/gerald-kleczka/K000259,Wisconsin,Democratic,House: 1983-2005,4
"Representative Klein, Herbert C.",https://www.congress.gov/member/herbert-klein/K000262,New Jersey,Democratic,House: 1993-1995,8
"Representative Klein, Ron",https://www.congress.gov/member/ron-klein/K000366,Florida,Democratic,House: 2007-2011,22
"Representative Kline, John",https://www.congress.gov/member/john-kline/K000363,Minnesota,Republican,House: 2003-2017,2
"Representative Klink, Ron",https://www.congress.gov/member/ron-klink/K000270,Pennsylvania,Democratic,House: 1993-2001,4
"Senator Klobuchar, Amy",https://www.congress.gov/member/amy-klobuchar/K000367,Minnesota,Democratic,Senate: 2007-Present,
"Representative Kluczynski, John C.",https://www.congress.gov/member/john-kluczynski/K000273,Illinois,Democratic,House: 1951-1977,5
"Representative Klug, Scott L.",https://www.congress.gov/member/scott-klug/K000274,Wisconsin,Republican,House: 1991-1999,2
"Representative Knight, Stephen",https://www.congress.gov/member/stephen-knight/K000387,California,Republican,House: 2015-2019,25
"Representative Knollenberg, Joe",https://www.congress.gov/member/joe-knollenberg/K000288,Michigan,Republican,House: 1993-2009,9
"Representative Koch, Edward I.",https://www.congress.gov/member/edward-koch/K000302,New York,Democratic,House: 1969-1979,18
"Representative Kogovsek, Ray",https://www.congress.gov/member/raymond-kogovsek/K000304,Colorado,Democratic,House: 1979-1985,3
"Senator Kohl, Herb",https://www.congress.gov/member/herbert-kohl/K000305,Wisconsin,Democratic,Senate: 1989-2013,
"Representative Kolbe, Jim",https://www.congress.gov/member/jim-kolbe/K000306,Arizona,Republican,House: 1985-2007,8
"Representative Kolter, Joseph P.",https://www.congress.gov/member/joseph-kolter/K000307,Pennsylvania,Democratic,House: 1983-1993,4
"Representative Konnyu, Ernest L.",https://www.congress.gov/member/ernest-konnyu/K000309,California,Republican,House: 1987-1989,12
"Representative Kopetski, Mike",https://www.congress.gov/member/mike-kopetski/K000312,Oregon,Democratic,House: 1991-1995,5
"Representative Kosmas, Suzanne M.",https://www.congress.gov/member/suzanne-kosmas/K000370,Florida,Democratic,House: 2009-2011,24
"Representative Kostmayer, Peter H.",https://www.congress.gov/member/peter-kostmayer/K000319,Pennsylvania,Democratic,"House: 1977-1981, 1983-1993",8
"Representative Kramer, Ken",https://www.congress.gov/member/kenneth-kramer/K000322,Colorado,Republican,House: 1979-1987,5
"Representative Kratovil, Frank, Jr.",https://www.congress.gov/member/frank-kratovil/K000371,Maryland,Democratic,House: 2009-2011,1
