name,city,state,url
Reno Gem and Mineral Society,Reno,Nevada,http://www.renorockhounds.com/
Southern Nevada Gem and Mineral Society,Las Vegas,Nevada,http://www.snvgms.org/
Capital Mineral Club,Concord,New Hampshire,http://www.capitalmineralclub.org/
Keene Mineral Club,Keene,New Hampshire,https://sites.google.com/site/keenemineralclub/home
Saco Valley Gem and Mineral Club,Conway,New Hampshire,http://www.sacovalleygemandmineralclub.org/
Southeastern New Hampshire Mineral Club,Dover,New Hampshire,https://www.senhmc.org/
Cape Atlantic Rockhounds Inc.,Cologne,New Jersey,http://www.capeatlanticrockhounds.com/
Delaware Valley Earth Science Society,Woodbury,New Jersey,http://www.dvess.org/
Friends of Mineralogy - New Jersey Chapter,Marlboro Township,New Jersey,https://fomnj.wordpress.com/
Morris Museum Mineralogical Society,Morristown,New Jersey,http://morrismuseum.org/mineral-society/
"New Jersey Mineralogical Society, Inc",Mountainside,New Jersey,http://www.njmin.org/
"North Jersey Mineralogical Society, Inc.",Paterson,New Jersey,http://www.nojms.webs.com/
Albuquerque Gem & Mineral Club,Albuquerque,New Mexico,http://www.agmc.info/
Carlsbad Gem and Mineral Society,Carlsbad,New Mexico,http://www.carlsbadgms.org/
Deming Gem & Mineral Society,Deming,New Mexico,http://www.thedgms.com/
"Grant County Rolling Stones Gem & Mineral Society, Inc.",Silver City,New Mexico,http://rollingstonesgms.blogspot.com/
Los Alamos Geological Society,Los Alamos,New Mexico,http://pweb.netcom.com/~hoffmans/LAGS.html
"Buffalo Geological Society, Inc.",Buffalo,New York,http://www.bgsny.org/
Capital District Mineral Club,Albany,New York,http://capitaldistrictmineralclub.com/
"Gem and Mineral Society of Syracuse, Inc.",Syracuse,New York,https://www.facebook.com/gmss.us/
Island Rockhounds Inc.,Bellmore,New York,http://www.islandrockhounds.org/
Long Island Mineral & Geology Society,Jamesport,New York,http://www.limineralandgeology.com/LiMags/Home.html
Mid-Hudson Valley Gem and Mineral Society Inc.,Poughkeepsie,New York,http://mhvgms.org/index.html
Nassau Mineral Club,Glen Cove,New York,http://nassaumineralclub.org/
New York Mineralogical Club,NYC,New York,http://www.newyorkmineralogicalclub.org/
New York Paleontological Society,NYC,New York,http://www.nyps.org/index.htm
Orange County Mineral Society,Middletown,New York,http://www.orangecountymineralsocietynewyork.com/
Rochester Academy of Science,Rochester,New York,http://www.rasny.org/
Rochester Lapiday Society,Rochester,New York,http://www.rochesterlapidary.org/
St. Lawrence County Rock & Mineral Club,Canton,New York,http://stlawrencecountymineralclub.org/
Suffolk Gem & Mineral Club,Bay Shore,New York,http://www.suffolkgem.com/
Wayne County Gem and Mineral Club,Newark,New York,http://www.wcgmc.org/
Cape Fear Mineral & Gem Society,Fayetteville,North Carolina,http://www.mercergarden.com/GemClub.html
Catawba Valley Gem & Mineral Club,Hickory,North Carolina,http://www.cvgmc.com/
Central North Carolina Mineral Club,Chapel Hill,North Carolina,http://www.centralncmineralclub.org/
Charlotte Gem & Mineral Club,Charlotte,North Carolina,http://www.charlottegem.com/
Forsyth Gem and Mineral Club,Winston-Salem,North Carolina,http://www.forsythgemclub.com/fgmcmain.html
